alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9828888888888889,0.9674444444444444,1.0,0.25427777777777777,0.23457222222222224,0.20054444444444441,1
0.04,0.96,0.964,0.9381111111111111,0.9996666666666667,0.29375,0.2618388888888889,0.20770555555555553,1
0.06,0.94,0.9405555555555556,0.911,0.9954444444444445,0.3298,0.29160555555555556,0.2239944444444444,1
0.08,0.92,0.9175555555555556,0.8905555555555555,0.9851111111111112,0.3616555555555556,0.31924444444444455,0.24867222222222224,1
0.1,0.9,0.8933333333333333,0.8728888888888889,0.9753333333333334,0.3953333333333333,0.34220555555555565,0.27491666666666664,1
0.12,0.88,0.8601111111111112,0.841,0.9577777777777777,0.4326,0.3713611111111112,0.2981666666666667,1
0.14,0.86,0.8392222222222222,0.8194444444444444,0.9438888888888889,0.4575,0.3951333333333334,0.3189055555555556,1
0.16,0.84,0.831,0.7915555555555556,0.9331111111111111,0.4757222222222222,0.4190944444444445,0.3369277777777778,1
0.18,0.8200000000000001,0.8155555555555556,0.7751111111111111,0.9167777777777778,0.5016166666666667,0.43963888888888897,0.3519666666666667,1
0.2,0.8,0.8081111111111111,0.7486666666666667,0.9094444444444445,0.5140222222222222,0.4618444444444445,0.3643333333333334,1
