alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9833333333333333,0.9711111111111111,1.0,0.25819444444444445,0.2431444444444444,0.20049444444444442,3
0.04,0.96,0.9687777777777777,0.9434444444444444,0.9997777777777778,0.2931777777777778,0.2732666666666666,0.20456111111111108,3
0.06,0.94,0.9401111111111111,0.9161111111111111,0.9985555555555555,0.33692222222222223,0.29944444444444446,0.2137111111111111,3
0.08,0.92,0.9206666666666666,0.8946666666666667,0.9968888888888889,0.3635444444444445,0.32651666666666673,0.22642777777777776,3
0.1,0.9,0.8958888888888888,0.874,0.9946666666666667,0.39463333333333334,0.3505500000000001,0.24049444444444443,3
0.12,0.88,0.8834444444444445,0.8505555555555555,0.99,0.4230166666666667,0.37045,0.2560055555555556,3
0.14,0.86,0.852,0.8337777777777777,0.9833333333333333,0.45716666666666667,0.392688888888889,0.2718,3
0.16,0.84,0.8326666666666667,0.8104444444444444,0.9791111111111112,0.4836333333333333,0.41188888888888897,0.28842222222222225,3
0.18,0.8200000000000001,0.8042222222222222,0.7891111111111111,0.9674444444444444,0.5108388888888891,0.4330833333333334,0.3038666666666667,3
0.2,0.8,0.7864444444444444,0.7758888888888889,0.963,0.5252388888888888,0.4517944444444445,0.3189611111111112,3
