alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility
0.02,0.9800000000000001,0.979661111111111,0.9755277777777775,0.9998944444444444,0.27813277777777773,0.24676472222222218,0.2026438888888889
0.04,0.9600000000000002,0.9605611111111111,0.9508888888888887,0.998661111111111,0.3239408333333334,0.2800533333333334,0.21512749999999997
0.06,0.9400000000000001,0.9391277777777777,0.928461111111111,0.994938888888889,0.363896388888889,0.30824944444444446,0.23581527777777778
0.08,0.9200000000000003,0.9201444444444442,0.9069166666666666,0.9890722222222219,0.3979466666666667,0.3336150000000001,0.25952027777777775
0.1,0.8999999999999998,0.8996833333333333,0.8862833333333334,0.9816111111111111,0.4275672222222223,0.3563805555555556,0.2838758333333334
0.12,0.8800000000000001,0.8798277777777777,0.8661555555555556,0.9716333333333333,0.4554680555555556,0.3794202777777778,0.30725250000000004
0.14,0.86,0.8597055555555555,0.8451166666666667,0.9612222222222224,0.4810716666666666,0.40174611111111114,0.32911777777777784
0.16,0.8400000000000001,0.8404722222222223,0.8242444444444444,0.949627777777778,0.5061574999999999,0.4232883333333334,0.34994027777777786
0.18,0.8200000000000001,0.8206277777777778,0.8041055555555555,0.937361111111111,0.5286047222222223,0.4441138888888889,0.36911861111111105
0.2,0.8000000000000002,0.8007444444444444,0.7844833333333333,0.9249611111111109,0.5487650000000002,0.4643408333333334,0.38693361111111113
