alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9772222222222222,0.9495555555555556,0.9996666666666667,0.2809277777777778,0.24069444444444443,0.20519444444444443,8
0.04,0.96,0.961,0.8975555555555556,0.9961111111111111,0.32660000000000006,0.27669444444444447,0.22922222222222222,8
0.06,0.94,0.9422222222222222,0.8517777777777777,0.9868888888888889,0.3651166666666667,0.31000000000000005,0.25956111111111113,8
0.08,0.92,0.9301111111111111,0.8156666666666667,0.9805555555555555,0.3990833333333334,0.3362777777777779,0.2848833333333334,8
0.1,0.9,0.9156666666666666,0.7804444444444445,0.9692222222222222,0.42705000000000004,0.3639722222222223,0.30692222222222226,8
0.12,0.88,0.8853333333333333,0.7457777777777778,0.9616666666666667,0.46202777777777776,0.38891666666666674,0.3256166666666667,8
0.14,0.86,0.8706666666666667,0.711,0.9548888888888889,0.4891833333333333,0.4138777777777779,0.33998888888888895,8
0.16,0.84,0.8544444444444445,0.6853333333333333,0.9435555555555556,0.5116833333333333,0.4383500000000001,0.3536444444444445,8
0.18,0.8200000000000001,0.8346666666666667,0.6665555555555556,0.9364444444444444,0.5328111111111111,0.4606555555555557,0.3650388888888889,8
0.2,0.8,0.8257777777777778,0.6275555555555555,0.9268888888888889,0.5502777777777778,0.48296666666666677,0.37655555555555553,8
