alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9768888888888889,0.9817777777777777,1.0,0.2803444444444445,0.2511833333333333,0.20098333333333332,12
0.04,0.96,0.958,0.9661111111111111,0.9992222222222222,0.3304777777777778,0.28366666666666673,0.21028333333333332,12
0.06,0.94,0.937,0.9471111111111111,0.9973333333333333,0.3770500000000001,0.31553333333333333,0.23228333333333334,12
0.08,0.92,0.9152222222222223,0.9326666666666666,0.9908888888888889,0.42127777777777775,0.3415500000000001,0.2576,12
0.1,0.9,0.8954444444444445,0.9212222222222223,0.985,0.45732777777777783,0.3620388888888889,0.28353333333333336,12
0.12,0.88,0.867,0.91,0.9724444444444444,0.5002222222222223,0.3878777777777778,0.3097722222222223,12
0.14,0.86,0.8612222222222222,0.8914444444444445,0.9604444444444444,0.5251166666666667,0.4156111111111112,0.3349777777777778,12
0.16,0.84,0.8315555555555556,0.8775555555555555,0.9457777777777778,0.5544055555555556,0.4367555555555556,0.35975000000000007,12
0.18,0.8200000000000001,0.8112222222222222,0.8602222222222222,0.9356666666666666,0.5824888888888888,0.4617888888888889,0.3821388888888889,12
0.2,0.8,0.782,0.8396666666666667,0.9196666666666666,0.6133000000000001,0.4855222222222223,0.40501666666666675,12
