alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.977,0.9625555555555556,1.0,0.2817055555555556,0.2523722222222222,0.2004222222222222,5
0.04,0.96,0.9607777777777777,0.9211111111111111,0.9991111111111111,0.3274944444444445,0.29494444444444445,0.20568888888888887,5
0.06,0.94,0.948,0.8978888888888888,0.996,0.3616888888888889,0.3259500000000001,0.2197722222222222,5
0.08,0.92,0.927,0.8702222222222222,0.9905555555555555,0.4086444444444445,0.35187777777777784,0.24233333333333335,5
0.1,0.9,0.8983333333333333,0.8526666666666667,0.9817777777777777,0.4469166666666667,0.3765722222222223,0.2696555555555556,5
0.12,0.88,0.8726666666666667,0.8241111111111111,0.9715555555555555,0.4792,0.4037888888888889,0.2992611111111111,5
0.14,0.86,0.8558888888888889,0.814,0.9593333333333334,0.5090777777777779,0.4277722222222223,0.32951666666666674,5
0.16,0.84,0.8348888888888889,0.7921111111111111,0.9464444444444444,0.53775,0.45045,0.3575833333333333,5
0.18,0.8200000000000001,0.8127777777777778,0.7733333333333333,0.9252222222222222,0.5645888888888888,0.47471666666666673,0.38408333333333333,5
0.2,0.8,0.8067777777777778,0.7516666666666667,0.9132222222222223,0.5842333333333334,0.4980444444444445,0.40795000000000003,5
