alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9827777777777778,0.9832222222222222,1.0,0.2551833333333333,0.234,0.20009444444444444,17
0.04,0.96,0.9537777777777777,0.958,0.9996666666666667,0.29787777777777785,0.26065000000000005,0.2026722222222222,17
0.06,0.94,0.9425555555555556,0.9377777777777778,0.9981111111111111,0.3244777777777778,0.2808888888888889,0.21210555555555555,17
0.08,0.92,0.9203333333333333,0.913,0.9952222222222222,0.35590000000000005,0.30229444444444453,0.2291555555555555,17
0.1,0.9,0.9067777777777778,0.8964444444444445,0.988,0.3801944444444445,0.32193333333333335,0.2518611111111111,17
0.12,0.88,0.8901111111111111,0.8756666666666667,0.9771111111111112,0.4014555555555556,0.34017222222222226,0.2748111111111111,17
0.14,0.86,0.8546666666666667,0.8623333333333333,0.9663333333333334,0.42932777777777775,0.3550500000000001,0.3000111111111112,17
0.16,0.84,0.8533333333333334,0.8404444444444444,0.9536666666666667,0.4446444444444445,0.3730277777777778,0.3224555555555556,17
0.18,0.8200000000000001,0.8193333333333334,0.8267777777777777,0.9385555555555556,0.4718000000000001,0.3915555555555556,0.3438111111111112,17
0.2,0.8,0.8008888888888889,0.8076666666666666,0.9207777777777778,0.4889944444444445,0.40801666666666675,0.3631666666666667,17
