alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9796666666666667,0.9793333333333333,1.0,0.24873333333333333,0.23148333333333326,0.19999999999999996,18
0.04,0.96,0.9596666666666667,0.9577777777777777,1.0,0.28444444444444444,0.25632222222222223,0.20064999999999997,18
0.06,0.94,0.941,0.9446666666666667,0.9991111111111111,0.32014444444444445,0.28047777777777777,0.2035,18
0.08,0.92,0.926,0.9211111111111111,0.9967777777777778,0.34608333333333335,0.30332222222222216,0.20965,18
0.1,0.9,0.9028888888888889,0.8993333333333333,0.9933333333333333,0.37453333333333333,0.32309444444444446,0.21868888888888888,18
0.12,0.88,0.8818888888888889,0.8842222222222222,0.9867777777777778,0.4040833333333334,0.34287777777777784,0.2306111111111111,18
0.14,0.86,0.8606666666666667,0.8637777777777778,0.9777777777777777,0.4291333333333333,0.3634277777777778,0.24515555555555557,18
0.16,0.84,0.8446666666666667,0.8436666666666667,0.9697777777777777,0.45849444444444454,0.3852277777777778,0.2603111111111111,18
0.18,0.8200000000000001,0.8276666666666667,0.8262222222222222,0.9575555555555556,0.4805666666666667,0.40651111111111116,0.2790111111111111,18
0.2,0.8,0.8011111111111111,0.8097777777777778,0.9397777777777778,0.5052166666666668,0.4304611111111111,0.2980833333333333,18
