alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9778888888888889,0.9647777777777777,0.9998888888888889,0.27919444444444447,0.24568333333333328,0.20212777777777777,19
0.04,0.96,0.9555555555555556,0.9365555555555556,0.9986666666666667,0.32765000000000005,0.2806222222222222,0.21191666666666667,19
0.06,0.94,0.9391111111111111,0.9154444444444444,0.9947777777777778,0.3630666666666667,0.3103666666666667,0.22791666666666666,19
0.08,0.92,0.9105555555555556,0.8888888888888888,0.9903333333333333,0.4047666666666667,0.3384333333333334,0.24988333333333332,19
0.1,0.9,0.8991111111111111,0.8684444444444445,0.9811111111111112,0.4317055555555556,0.35985000000000006,0.2733277777777778,19
0.12,0.88,0.8731111111111111,0.8502222222222222,0.9725555555555555,0.4619055555555556,0.3844,0.2972055555555556,19
0.14,0.86,0.8611111111111112,0.8277777777777777,0.9606666666666667,0.4857277777777778,0.40930000000000005,0.31980555555555557,19
0.16,0.84,0.8301111111111111,0.8013333333333333,0.9483333333333334,0.5193333333333333,0.43005000000000004,0.3427888888888889,19
0.18,0.8200000000000001,0.8192222222222222,0.7903333333333333,0.9367777777777778,0.5430777777777779,0.4517111111111112,0.3645944444444445,19
0.2,0.8,0.7918888888888889,0.7677777777777778,0.9203333333333333,0.5654555555555556,0.47535000000000005,0.38680555555555557,19
