alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9774444444444444,0.9798888888888889,0.9998888888888889,0.2972,0.2651555555555556,0.20258333333333334,7
0.04,0.96,0.9587777777777777,0.9583333333333334,0.9964444444444445,0.36220555555555567,0.31469444444444444,0.22765,7
0.06,0.94,0.9418888888888889,0.9382222222222222,0.9883333333333333,0.4056222222222223,0.35575000000000007,0.27794444444444444,7
0.08,0.92,0.9087777777777778,0.9184444444444444,0.9742222222222222,0.44814444444444446,0.38766666666666677,0.32800555555555555,7
0.1,0.9,0.8958888888888888,0.8952222222222223,0.9624444444444444,0.47780000000000006,0.41122777777777786,0.3702722222222223,7
0.12,0.88,0.8732222222222222,0.8726666666666667,0.9441111111111111,0.4994055555555555,0.43876666666666675,0.40297222222222223,7
0.14,0.86,0.835,0.8527777777777777,0.9327777777777778,0.5313888888888889,0.4610944444444445,0.42831666666666673,7
0.16,0.84,0.8311111111111111,0.8274444444444444,0.9145555555555556,0.5470277777777778,0.4850444444444446,0.44862777777777785,7
0.18,0.8200000000000001,0.8175555555555556,0.795,0.9093333333333333,0.5616944444444445,0.5031555555555555,0.4656444444444446,7
0.2,0.8,0.7893333333333333,0.7687777777777778,0.8952222222222223,0.5755888888888889,0.5229555555555556,0.48032777777777785,7
