alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9852222222222222,0.9883333333333333,1.0,0.3032944444444445,0.23758333333333334,0.2091388888888889,13
0.04,0.96,0.9603333333333334,0.9734444444444444,0.9973333333333333,0.3511000000000001,0.2632111111111111,0.2357388888888889,13
0.06,0.94,0.9412222222222222,0.9564444444444444,0.9932222222222222,0.3903111111111111,0.28728333333333333,0.26696666666666663,13
0.08,0.92,0.9226666666666666,0.9381111111111111,0.9873333333333333,0.4174166666666667,0.3106166666666667,0.2929833333333334,13
0.1,0.9,0.883,0.9215555555555556,0.9822222222222222,0.4587555555555557,0.3324944444444445,0.31662777777777784,13
0.12,0.88,0.8696666666666667,0.9005555555555556,0.9727777777777777,0.4800777777777779,0.3551611111111112,0.337138888888889,13
0.14,0.86,0.8472222222222222,0.8835555555555555,0.9695555555555555,0.500738888888889,0.3786222222222223,0.3541777777777778,13
0.16,0.84,0.8276666666666667,0.8594444444444445,0.9595555555555556,0.5265666666666667,0.3998722222222223,0.3678833333333334,13
0.18,0.8200000000000001,0.8051111111111111,0.844,0.9501111111111111,0.5472333333333333,0.42053888888888896,0.37920555555555563,13
0.2,0.8,0.7863333333333333,0.8266666666666667,0.9456666666666667,0.5669000000000001,0.4372055555555556,0.3899055555555556,13
