alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9851111111111112,0.9747777777777777,1.0,0.2543777777777778,0.24316111111111108,0.2001666666666666,6
0.04,0.96,0.9673333333333334,0.9432222222222222,0.9995555555555555,0.28958333333333336,0.2748611111111111,0.20286111111111108,6
0.06,0.94,0.9477777777777778,0.9242222222222222,0.9974444444444445,0.3204722222222222,0.29415,0.21105555555555555,6
0.08,0.92,0.9285555555555556,0.9083333333333333,0.9953333333333333,0.3489555555555556,0.31365555555555563,0.22482777777777777,6
0.1,0.9,0.9048888888888889,0.8926666666666667,0.9891111111111112,0.37402777777777785,0.3307555555555556,0.24242777777777777,6
0.12,0.88,0.8957777777777778,0.8746666666666667,0.982,0.3944277777777778,0.3499777777777778,0.2616,6
0.14,0.86,0.8756666666666667,0.85,0.9754444444444444,0.4154944444444445,0.3703444444444445,0.27963333333333334,6
0.16,0.84,0.8487777777777777,0.8346666666666667,0.9613333333333334,0.44041111111111114,0.3878000000000001,0.29869444444444443,6
0.18,0.8200000000000001,0.8268888888888889,0.8084444444444444,0.9477777777777778,0.4597277777777778,0.4073166666666667,0.3161,6
0.2,0.8,0.7987777777777778,0.7987777777777778,0.9304444444444444,0.4816000000000001,0.4220888888888889,0.33322222222222225,6
