alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9738888888888889,0.98,1.0,0.27228888888888886,0.24489444444444441,0.20054999999999998,4
0.04,0.96,0.96,0.9588888888888889,0.999,0.31635555555555556,0.27401666666666663,0.2080222222222222,4
0.06,0.94,0.9322222222222222,0.9331111111111111,0.995,0.35328888888888893,0.3032666666666667,0.22814444444444446,4
0.08,0.92,0.9244444444444444,0.9064444444444445,0.9893333333333333,0.38173888888888896,0.3269888888888889,0.2555888888888889,4
0.1,0.9,0.8995555555555556,0.8831111111111111,0.9788888888888889,0.4056166666666667,0.35010555555555556,0.2847166666666667,4
0.12,0.88,0.8862222222222222,0.87,0.9655555555555555,0.43255000000000005,0.37049444444444446,0.31217777777777783,4
0.14,0.86,0.8623333333333333,0.8488888888888889,0.9532222222222222,0.45195,0.3918444444444445,0.336238888888889,4
0.16,0.84,0.8477777777777777,0.8256666666666667,0.939,0.4712888888888889,0.4157444444444445,0.3580166666666667,4
0.18,0.8200000000000001,0.8253333333333334,0.8064444444444444,0.926,0.4924833333333334,0.4357777777777778,0.3769722222222222,4
0.2,0.8,0.806,0.7883333333333333,0.9204444444444444,0.5141388888888889,0.4551777777777778,0.3949333333333334,4
