alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9791111111111112,0.9635555555555556,0.9984444444444445,0.3146333333333334,0.2606277777777778,0.22343333333333332,16
0.04,0.96,0.9604444444444444,0.9343333333333333,0.9928888888888889,0.35307222222222223,0.2934888888888889,0.25614444444444445,16
0.06,0.94,0.939,0.898,0.9863333333333333,0.3931055555555556,0.3239333333333334,0.28735,16
0.08,0.92,0.9272222222222222,0.859,0.9777777777777777,0.41992777777777784,0.35244444444444456,0.31507222222222225,16
0.1,0.9,0.9046666666666666,0.8243333333333334,0.9697777777777777,0.45109444444444446,0.37857777777777785,0.3393555555555556,16
0.12,0.88,0.8773333333333333,0.7961111111111111,0.9576666666666667,0.4723333333333333,0.4007055555555556,0.3606833333333333,16
0.14,0.86,0.8608888888888889,0.7616666666666667,0.9414444444444444,0.4956388888888889,0.4229611111111112,0.3806666666666667,16
0.16,0.84,0.8425555555555555,0.74,0.9232222222222223,0.5171777777777778,0.44436111111111115,0.39948333333333336,16
0.18,0.8200000000000001,0.8125555555555556,0.7091111111111111,0.9247777777777778,0.5371555555555555,0.4632722222222223,0.4161944444444444,16
0.2,0.8,0.7982222222222223,0.6976666666666667,0.9072222222222223,0.5535277777777777,0.4817777777777778,0.43004444444444445,16
