alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9733333333333334,0.9711111111111111,0.9982222222222222,0.31555000000000005,0.24117222222222223,0.23087777777777774,3
0.04,0.96,0.9432222222222222,0.9423333333333334,0.9933333333333333,0.3681166666666667,0.2718611111111111,0.25814444444444445,3
0.06,0.94,0.9071111111111111,0.9168888888888889,0.9863333333333333,0.4131944444444444,0.2985222222222222,0.27975,3
0.08,0.92,0.9054444444444445,0.9022222222222223,0.9795555555555555,0.43319444444444444,0.3191111111111111,0.29928888888888894,3
0.1,0.9,0.875,0.8785555555555555,0.9698888888888889,0.46657222222222217,0.34285000000000004,0.31753333333333333,3
0.12,0.88,0.8394444444444444,0.8488888888888889,0.9644444444444444,0.5071611111111111,0.3675944444444445,0.3346555555555556,3
0.14,0.86,0.8336666666666667,0.8412222222222222,0.9514444444444444,0.5207611111111111,0.38796111111111115,0.35128333333333334,3
0.16,0.84,0.8105555555555556,0.8095555555555556,0.9422222222222222,0.5489888888888889,0.4092500000000001,0.36602777777777784,3
0.18,0.8200000000000001,0.791,0.7917777777777778,0.933,0.5667833333333333,0.4284944444444445,0.3814722222222222,3
0.2,0.8,0.7487777777777778,0.7715555555555556,0.9236666666666666,0.5979055555555555,0.4483555555555556,0.3962055555555556,3
