alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.983,0.9772222222222222,0.999,0.2876166666666667,0.24846666666666664,0.21357777777777776,4
0.04,0.96,0.9607777777777777,0.957,0.9955555555555555,0.34671111111111114,0.27627222222222225,0.24111666666666667,4
0.06,0.94,0.9344444444444444,0.9357777777777778,0.9873333333333333,0.38490555555555556,0.3025722222222223,0.2709055555555555,4
0.08,0.92,0.9142222222222223,0.9175555555555556,0.9801111111111112,0.4220722222222223,0.3234777777777778,0.2991888888888889,4
0.1,0.9,0.8907777777777778,0.8976666666666666,0.9696666666666667,0.4439833333333334,0.34621666666666673,0.32517222222222225,4
0.12,0.88,0.8875555555555555,0.8781111111111111,0.9552222222222222,0.46451666666666674,0.36961111111111117,0.34891666666666665,4
0.14,0.86,0.8546666666666667,0.8567777777777777,0.9421111111111111,0.49044444444444446,0.3898166666666667,0.37115000000000004,4
0.16,0.84,0.8443333333333334,0.8351111111111111,0.9291111111111111,0.50475,0.41043333333333337,0.3903055555555556,4
0.18,0.8200000000000001,0.8266666666666667,0.8168888888888889,0.9157777777777778,0.5187777777777778,0.42950000000000005,0.4093,4
0.2,0.8,0.8147777777777778,0.8026666666666666,0.9058888888888889,0.5341277777777778,0.4480666666666667,0.42473333333333335,4
