alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9771111111111112,0.9853333333333333,0.9971111111111111,0.3589611111111112,0.2941444444444445,0.26502222222222227,15
0.04,0.96,0.9584444444444444,0.9611111111111111,0.9912222222222222,0.41973888888888894,0.3547333333333334,0.30974444444444443,15
0.06,0.94,0.9345555555555556,0.9412222222222222,0.9827777777777778,0.4641833333333334,0.39367222222222237,0.34715000000000007,15
0.08,0.92,0.9177777777777778,0.9172222222222223,0.9694444444444444,0.49373888888888884,0.42387777777777785,0.3775222222222223,15
0.1,0.9,0.8912222222222222,0.9,0.9605555555555556,0.5221888888888889,0.4472944444444445,0.40603888888888895,15
0.12,0.88,0.8671111111111112,0.8783333333333333,0.9491111111111111,0.5522777777777778,0.474088888888889,0.4294666666666667,15
0.14,0.86,0.8548888888888889,0.8476666666666667,0.933,0.5731777777777778,0.4939777777777778,0.4495444444444445,15
0.16,0.84,0.8225555555555556,0.8245555555555556,0.9215555555555556,0.602,0.5146944444444445,0.46798888888888895,15
0.18,0.8200000000000001,0.8123333333333334,0.8003333333333333,0.9118888888888889,0.6132166666666666,0.5322333333333333,0.4865,15
0.2,0.8,0.7996666666666666,0.7778888888888889,0.8932222222222223,0.6294722222222222,0.5543277777777779,0.5030666666666667,15
