alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9732222222222222,0.971,0.9984444444444445,0.32858888888888893,0.2559833333333334,0.2162666666666667,5
0.04,0.96,0.9506666666666667,0.9398888888888889,0.9955555555555555,0.3904166666666667,0.2903555555555556,0.24795000000000003,5
0.06,0.94,0.9334444444444444,0.9168888888888889,0.9882222222222222,0.4277722222222222,0.3201666666666667,0.27957777777777776,5
0.08,0.92,0.9163333333333333,0.883,0.9786666666666667,0.46910555555555555,0.3536555555555556,0.31168888888888885,5
0.1,0.9,0.8926666666666667,0.8593333333333333,0.9674444444444444,0.5001055555555556,0.3818222222222223,0.34151666666666675,5
0.12,0.88,0.8658888888888889,0.8343333333333334,0.9563333333333334,0.5342111111111111,0.40530555555555564,0.3689666666666667,5
0.14,0.86,0.844,0.8257777777777778,0.9445555555555556,0.560961111111111,0.42932777777777786,0.3933333333333333,5
0.16,0.84,0.8172222222222222,0.8028888888888889,0.9346666666666666,0.590288888888889,0.4512166666666667,0.4150444444444445,5
0.18,0.8200000000000001,0.7984444444444444,0.782,0.9147777777777778,0.6118722222222223,0.4726333333333334,0.43638333333333335,5
0.2,0.8,0.7918888888888889,0.7646666666666667,0.905,0.6318,0.4956111111111112,0.45608333333333334,5
