alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9758888888888889,0.9914444444444445,0.9968888888888889,0.3768722222222223,0.24568333333333334,0.2587388888888889,11
0.04,0.96,0.958,0.9804444444444445,0.9901111111111112,0.4279388888888889,0.27879444444444446,0.3037611111111111,11
0.06,0.94,0.94,0.957,0.9856666666666667,0.4761722222222222,0.31023333333333336,0.34032777777777784,11
0.08,0.92,0.9241111111111111,0.9453333333333334,0.9702222222222222,0.5048888888888889,0.3341388888888889,0.37426111111111116,11
0.1,0.9,0.906,0.9266666666666666,0.9606666666666667,0.5326944444444445,0.36034444444444447,0.40291111111111116,11
0.12,0.88,0.8857777777777778,0.91,0.944,0.5710500000000001,0.3823055555555556,0.4295222222222222,11
0.14,0.86,0.8648888888888889,0.9018888888888889,0.9367777777777778,0.5945722222222222,0.4039722222222223,0.45337222222222223,11
0.16,0.84,0.8487777777777777,0.8798888888888889,0.9248888888888889,0.62735,0.4252277777777778,0.4767444444444445,11
0.18,0.8200000000000001,0.815,0.8628888888888889,0.914,0.6544,0.4443611111111112,0.4979777777777778,11
0.2,0.8,0.8153333333333334,0.8471111111111111,0.8977777777777778,0.6689888888888889,0.46249444444444454,0.5165666666666667,11
