alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.98,0.9845555555555555,0.9994444444444445,0.2932166666666666,0.23003888888888888,0.2145388888888889,17
0.04,0.96,0.9595555555555556,0.9668888888888889,0.9964444444444445,0.33925,0.25229444444444443,0.23791111111111113,17
0.06,0.94,0.9357777777777778,0.9501111111111111,0.9904444444444445,0.3783222222222223,0.27568333333333334,0.2632666666666667,17
0.08,0.92,0.906,0.9316666666666666,0.9832222222222222,0.41345000000000004,0.2944833333333334,0.2878888888888889,17
0.1,0.9,0.9021111111111111,0.9191111111111111,0.9716666666666667,0.4309555555555556,0.3138,0.31061111111111117,17
0.12,0.88,0.8778888888888889,0.8997777777777778,0.9575555555555556,0.4553666666666668,0.3332222222222222,0.33130555555555563,17
0.14,0.86,0.8605555555555555,0.8815555555555555,0.9478888888888889,0.47001111111111116,0.35292777777777784,0.35088888888888886,17
0.16,0.84,0.8501111111111112,0.8616666666666667,0.9353333333333333,0.48067222222222233,0.3715444444444445,0.36906666666666677,17
0.18,0.8200000000000001,0.8207777777777778,0.8466666666666667,0.9241111111111111,0.5061,0.39020000000000005,0.3865777777777778,17
0.2,0.8,0.805,0.8288888888888889,0.9073333333333333,0.5172444444444445,0.40589444444444445,0.40262222222222227,17
