alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9805555555555555,0.9814444444444445,0.997,0.33012777777777785,0.2664,0.24722222222222223,7
0.04,0.96,0.9651111111111111,0.9603333333333334,0.9892222222222222,0.36962222222222224,0.3134277777777778,0.3072777777777778,7
0.06,0.94,0.9521111111111111,0.9438888888888889,0.9748888888888889,0.41224444444444447,0.34987222222222225,0.35416111111111115,7
0.08,0.92,0.9183333333333333,0.9234444444444444,0.9617777777777777,0.4741111111111111,0.3816222222222223,0.3885444444444445,7
0.1,0.9,0.9026666666666666,0.8992222222222223,0.9523333333333334,0.5009055555555555,0.4102055555555556,0.4160944444444445,7
0.12,0.88,0.8737777777777778,0.874,0.9363333333333334,0.5270222222222222,0.4379722222222223,0.43860000000000005,7
0.14,0.86,0.847,0.8514444444444444,0.9278888888888889,0.5460111111111111,0.4637555555555556,0.4562,7
0.16,0.84,0.8386666666666667,0.8357777777777777,0.9106666666666666,0.5647277777777778,0.48220000000000013,0.47226111111111113,7
0.18,0.8200000000000001,0.8204444444444444,0.8005555555555556,0.9025555555555556,0.5854444444444444,0.49903333333333333,0.4845666666666667,7
0.2,0.8,0.7942222222222223,0.7777777777777778,0.8906666666666667,0.5967166666666667,0.5176333333333334,0.4964722222222222,7
