alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9868888888888889,0.9861111111111112,0.998,0.2926111111111111,0.2457055555555556,0.22677777777777777,12
0.04,0.96,0.9726666666666667,0.9698888888888889,0.9941111111111111,0.3218388888888889,0.2775222222222222,0.26005555555555554,12
0.06,0.94,0.9601111111111111,0.9532222222222222,0.9888888888888889,0.3422888888888889,0.30866666666666664,0.2911111111111111,12
0.08,0.92,0.9425555555555556,0.9373333333333334,0.9778888888888889,0.3991333333333334,0.3363000000000001,0.31828888888888895,12
0.1,0.9,0.9135555555555556,0.9257777777777778,0.9705555555555555,0.46605555555555556,0.36165,0.3445,12
0.12,0.88,0.8937777777777778,0.9122222222222223,0.959,0.5154166666666666,0.3887777777777779,0.3680666666666667,12
0.14,0.86,0.8843333333333333,0.9023333333333333,0.9473333333333334,0.5290055555555556,0.41091111111111117,0.39223888888888897,12
0.16,0.84,0.8613333333333333,0.8867777777777778,0.9288888888888889,0.5578388888888889,0.4363222222222223,0.4150722222222223,12
0.18,0.8200000000000001,0.8431111111111111,0.8716666666666667,0.9163333333333333,0.5873833333333334,0.4553777777777778,0.4368388888888889,12
0.2,0.8,0.8131111111111111,0.8544444444444445,0.9011111111111111,0.6221666666666666,0.47712777777777793,0.4567555555555556,12
