alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9827777777777778,0.9736666666666667,0.9985555555555555,0.27305555555555555,0.24691666666666667,0.2139888888888889,6
0.04,0.96,0.9674444444444444,0.9517777777777777,0.995,0.2992722222222223,0.27357777777777775,0.23544444444444446,6
0.06,0.94,0.9538888888888889,0.9343333333333333,0.9894444444444445,0.32779444444444444,0.2915388888888889,0.2565666666666667,6
0.08,0.92,0.9391111111111111,0.9205555555555556,0.9838888888888889,0.35336666666666666,0.3089777777777778,0.27567222222222226,6
0.1,0.9,0.9056666666666666,0.8967777777777778,0.9728888888888889,0.3943388888888889,0.3291833333333334,0.2945277777777778,6
0.12,0.88,0.8871111111111111,0.8862222222222222,0.9658888888888889,0.4229333333333334,0.3465666666666667,0.31015000000000004,6
0.14,0.86,0.8611111111111112,0.8623333333333333,0.9601111111111111,0.4519944444444445,0.3655166666666667,0.3260166666666667,6
0.16,0.84,0.838,0.8487777777777777,0.9484444444444444,0.4766166666666667,0.38359444444444446,0.34139444444444444,6
0.18,0.8200000000000001,0.8141111111111111,0.8228888888888889,0.9356666666666666,0.4980055555555556,0.40074444444444446,0.3551,6
0.2,0.8,0.797,0.8124444444444444,0.9195555555555556,0.5097555555555555,0.4173555555555556,0.3694055555555556,6
