alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.98,0.9772222222222222,0.998,0.32078333333333336,0.24300555555555559,0.2276777777777778,9
0.04,0.96,0.955,0.961,0.9935555555555555,0.38173333333333337,0.27518888888888887,0.2636,9
0.06,0.94,0.938,0.9445555555555556,0.9847777777777778,0.42478888888888894,0.30473333333333336,0.29627222222222227,9
0.08,0.92,0.9187777777777778,0.9271111111111111,0.974,0.4578000000000001,0.33210555555555565,0.3262055555555555,9
0.1,0.9,0.9056666666666666,0.9154444444444444,0.9616666666666667,0.47117222222222227,0.3575944444444445,0.35313333333333335,9
0.12,0.88,0.8797777777777778,0.901,0.9543333333333334,0.5056055555555556,0.3845444444444445,0.3768222222222222,9
0.14,0.86,0.8626666666666667,0.8807777777777778,0.9408888888888889,0.5373722222222223,0.40851666666666675,0.3982833333333334,9
0.16,0.84,0.8358888888888889,0.8651111111111112,0.9316666666666666,0.5557333333333334,0.4342277777777778,0.41802222222222224,9
0.18,0.8200000000000001,0.814,0.851,0.9155555555555556,0.5823777777777778,0.4549555555555557,0.43526111111111115,9
0.2,0.8,0.8045555555555556,0.8285555555555556,0.906,0.5984722222222222,0.4781611111111112,0.45200555555555555,9
