alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9808888888888889,0.9871111111111112,0.998,0.33186111111111116,0.23391666666666666,0.24665555555555557,13
0.04,0.96,0.9664444444444444,0.9742222222222222,0.9936666666666667,0.36224444444444454,0.26,0.2835777777777778,13
0.06,0.94,0.9601111111111111,0.959,0.9864444444444445,0.37813333333333343,0.28469444444444447,0.30937777777777786,13
0.08,0.92,0.9233333333333333,0.9437777777777778,0.9821111111111112,0.4417833333333334,0.30469444444444443,0.3298666666666667,13
0.1,0.9,0.9081111111111111,0.929,0.975,0.4612055555555556,0.3270555555555556,0.34753888888888895,13
0.12,0.88,0.8897777777777778,0.9136666666666666,0.969,0.48478333333333345,0.3455833333333334,0.3609833333333334,13
0.14,0.86,0.8696666666666667,0.8952222222222223,0.9642222222222222,0.5001500000000001,0.36761111111111117,0.37362222222222224,13
0.16,0.84,0.852,0.8784444444444445,0.9566666666666667,0.5255333333333334,0.3856944444444445,0.3847000000000001,13
0.18,0.8200000000000001,0.8314444444444444,0.8621111111111112,0.9468888888888889,0.5474666666666668,0.40580555555555564,0.39453888888888894,13
0.2,0.8,0.8106666666666666,0.8401111111111111,0.9416666666666667,0.5643111111111111,0.4273611111111112,0.4038166666666667,13
