alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility
0.02,0.9800000000000001,0.9801055555555557,0.9785166666666665,0.9982999999999999,0.3103208333333333,0.24588722222222228,0.22909777777777776
0.04,0.9600000000000002,0.9604888888888891,0.9567166666666667,0.9938388888888889,0.35945305555555557,0.27831888888888895,0.2609825
0.06,0.9400000000000001,0.9416499999999999,0.9355611111111111,0.9867111111111113,0.3944316666666667,0.3060611111111112,0.28960111111111114
0.08,0.9200000000000003,0.9224222222222223,0.9139333333333333,0.9781555555555554,0.4315225000000001,0.33117972222222225,0.3156119444444445
0.1,0.8999999999999998,0.9005277777777779,0.8934222222222223,0.9683555555555557,0.4616594444444444,0.35514555555555566,0.33902166666666667
0.12,0.8800000000000001,0.8791888888888888,0.8733722222222223,0.957988888888889,0.4894891666666667,0.3783394444444445,0.3599308333333334
0.14,0.86,0.8606388888888888,0.8542666666666667,0.9465666666666668,0.5103861111111111,0.4001016666666667,0.3792944444444445
0.16,0.8400000000000001,0.8427,0.8326944444444445,0.9354666666666667,0.5325175000000002,0.42160527777777784,0.3972730555555556
0.18,0.8200000000000001,0.8220166666666666,0.8130666666666665,0.9231555555555554,0.5530633333333335,0.44134027777777796,0.41409111111111124
0.2,0.8000000000000002,0.8029277777777779,0.7939111111111111,0.9105555555555555,0.5718841666666666,0.4610255555555556,0.4297411111111111
