alpha,target_coverage,pc_racp_coverage,rac_coverage,plugin_coverage,pc_racp_utility,rac_utility,plugin_utility,seed
0.02,0.98,0.9846666666666667,0.9653333333333334,0.9987777777777778,0.2912777777777778,0.23830555555555555,0.23621666666666666,8
0.04,0.96,0.9668888888888889,0.926,0.9921111111111112,0.3513166666666667,0.27553333333333335,0.2720166666666667,8
0.06,0.94,0.9511111111111111,0.8815555555555555,0.9812222222222222,0.38911111111111113,0.3080055555555556,0.2991555555555556,8
0.08,0.92,0.9197777777777778,0.8391111111111111,0.9738888888888889,0.4388833333333333,0.33598333333333336,0.3243444444444445,8
0.1,0.9,0.9041111111111111,0.8052222222222222,0.9641111111111111,0.46415000000000006,0.3631277777777779,0.34382777777777784,8
0.12,0.88,0.8932222222222223,0.7737777777777778,0.9584444444444444,0.4782111111111111,0.3885944444444446,0.35978333333333334,8
0.14,0.86,0.8851111111111111,0.7384444444444445,0.9491111111111111,0.49577777777777776,0.4125111111111113,0.37581111111111115,8
0.16,0.84,0.8632222222222222,0.711,0.9423333333333334,0.5083055555555556,0.4341111111111112,0.3887055555555556,8
0.18,0.8200000000000001,0.8458888888888889,0.6931111111111111,0.9314444444444444,0.5174888888888889,0.45453888888888905,0.4017388888888889,8
0.2,0.8,0.8334444444444444,0.659,0.9236666666666666,0.5351722222222222,0.472538888888889,0.4142166666666667,8
